question_text,Option_A,Option_B,Option_C,Option_D,correct_answer,domain
Explain DNL and INL in the context of ADC/DAC linearity.,DNL measures total offset error; INL measures gain error,DNL (Differential Non-Linearity) is the deviation of each code step from the ideal 1-LSB step; INL (Integral Non-Linearity) is the cumulative deviation of the transfer curve from the ideal straight line,DNL and INL both measure harmonic distortion at different frequencies,INL is the per-code error; DNL is the worst-case total error across all codes,B,mixed_signal
"What is a switched-capacitor circuit, and what key advantage does it have over a resistor-based circuit in CMOS?",A circuit using MOSFET capacitors to store charge; advantage is higher bandwidth,"A circuit where switches and capacitors emulate a resistor; advantage is that the effective resistance is set by capacitor ratio and clock frequency, both of which are highly accurate in CMOS",A circuit using MOS switches to bypass capacitors; advantage is reduced area,A circuit using switching regulators; advantage is higher power efficiency,B,mixed_signal
"What is a Sample-and-Hold (S/H) circuit, and why is it critical in ADC design?",A circuit that averages the input signal over multiple clock cycles,"A circuit that samples the analog input at a defined instant and holds it constant during the ADC conversion, preventing errors from input signal movement",A circuit that stores digital codes between conversion cycles,A circuit that holds the reference voltage stable during conversion,B,mixed_signal
What is CMRR (Common-Mode Rejection Ratio) and why does it matter for analog circuits?,The ratio of differential-mode gain to common-mode gain; high CMRR means the circuit rejects noise that appears identically on both inputs,The ratio of signal bandwidth to noise bandwidth; higher CMRR indicates a wider useful bandwidth,The ratio of output swing to supply voltage; higher CMRR means better rail-to-rail performance,The ratio of input impedance to output impedance; affects matching,A,mixed_signal
"In a PLL, what is the role of the VCO and the Loop Filter?",VCO generates the reference clock; Loop Filter digitises the phase error,VCO produces an output frequency proportional to a control voltage; the Loop Filter smooths the phase detector output to produce a stable DC control voltage and sets loop bandwidth/stability,Loop Filter multiplies the reference frequency; VCO divides it down,VCO detects phase error; Loop Filter amplifies it for the frequency divider,B,mixed_signal
What is the purpose of an anti-aliasing filter (AAF) placed before an ADC?,To increase the ADC sampling rate,"To attenuate signal components above fs/2 before sampling, preventing them from folding (aliasing) into the desired signal band",To improve the ADC's linearity by pre-distorting the input,To reduce power consumption of the ADC by limiting its input bandwidth,B,mixed_signal
"What is oversampling in the context of ADCs, and what SNR benefit does it provide?",Sampling faster than required offers no inherent SNR benefit but reduces latency,Oversampling by a factor of M spreads quantisation noise over a wider bandwidth; decimation filtering recovers approximately 3 dB (0.5 bit) of SNR for every doubling of the oversampling ratio,Oversampling doubles the ADC resolution directly,Oversampling improves INL by averaging out non-linearity across codes,B,mixed_signal
"What is a current mirror, and what is the key design parameter that determines its accuracy?",A circuit that replicates a supply current to multiple loads; accuracy depends on supply voltage,"A circuit that copies a reference current to one or more output branches; accuracy is primarily determined by transistor matching (W/L ratio, Vth mismatch), output impedance, and channel-length modulation",A circuit that converts voltage to current; accuracy depends on resistance tolerance,A circuit that mirrors digital switching currents into the analog domain; accuracy set by clock frequency,B,mixed_signal
"What is a Sigma-Delta (Delta-Sigma) ADC, and what technique does it use to achieve high resolution?",A flash ADC that uses many comparators in parallel; resolution is set by the number of comparators,"An ADC that uses oversampling and noise shaping to push quantisation noise out of the signal band, followed by digital decimation filtering to achieve high resolution at low bandwidth",A successive-approximation ADC that uses a sigma modulator to reduce conversion time,A pipeline ADC that uses delta coding between stages to reduce power,B,mixed_signal
"What is slew rate in an op-amp, and what causes it?",The maximum frequency at which the op-amp can operate; caused by parasitic capacitance,The maximum rate of change of the output voltage (V/us); caused by the limited current available to charge the internal compensation capacitor,The minimum output impedance achievable; caused by transistor sizing,The input offset voltage drift; caused by temperature coefficient mismatch,B,mixed_signal
What is the purpose of a charge pump in a PLL?,To supply power to the VCO during lock,"To convert the phase detector's UP/DOWN pulses into a proportional analog current that charges/discharges the loop filter capacitor, generating the VCO control voltage",To double the reference clock voltage for the frequency divider,To filter thermal noise from the reference oscillator,B,mixed_signal
"What is the difference between a SAR ADC and a Flash ADC in terms of speed, resolution, and area?",SAR and Flash have identical speed/area; they differ only in power consumption,"Flash ADC uses 2^N-1 comparators for N-bit resolution, giving very high speed (1 cycle) but large area/power; SAR ADC uses binary search with one comparator over N cycles, achieving moderate speed with much smaller area and lower power",SAR uses parallel comparators; Flash uses a single comparator iteratively,Flash ADC is used only for audio; SAR is used only for RF applications,B,mixed_signal
"In a Multi-bit Pipelined ADC architecture, what is the role of the 'Sub-DAC' and 'Residue Amplifier' inside an intermediate stage?",To completely digitize the input signal into its final binary code.,"To convert the local stage's coarse digital decision back to an analog value, subtract it from the input signal, and amplify the remaining residue for the next stage.",To isolate the digital outputs from clock jitter.,To provide low-pass filtering to eliminate flicker noise components.,B,mixed_signal
"What is the primary cause of 'Charge Injection' errors in MOS switch circuits, and how does it scale with device size?",Thermal noise storage in the channel; scales only with temperature.,The release of mobile channel inversion charges into the source/drain nodes when the switch turns off; scales proportionally with switch gate area (W·L).,Substrate leakage currents; scales inversely with gate oxide thickness.,Flicker noise trapping; scales with the operational clock frequency.,B,mixed_signal
"In a SAR ADC, why is capacitor mismatch in the binary-weighted DAC a critical design concern?",It increases the sampling frequency beyond the Nyquist limit.,It causes reference voltage ripple only during reset.,"It creates incorrect DAC step sizes, leading to INL/DNL errors and possible conversion inaccuracies.",It eliminates the need for comparator offset calibration.,C,mixed_signal
"If a pipelined or SAR ADC exhibits a recurrent localized Differential Nonlinearity (DNL) violation that drops exactly to -1 LSB at a major code transition, what does this indicate about the converter's transfer characteristic?",The converter is operating at maximum ideal performance.,The converter exhibits a 'Missing Code' error due to non-monotonicity or severe component mismatch.,The converter's thermal noise floor is lower than the quantization step size.,The input anti-aliasing filter has an improper cutoff frequency.,B,mixed_signal
"In a standard UVM testbench component execution life cycle, during which execution phase are structural components instantiated using the factory mechanism?",connect_phase,run_phase,build_phase,end_of_elaboration_phase,C,verification
Why must a 'virtual interface' be utilized inside a SystemVerilog class-based verification component (like a driver) rather than instantiating a regular interface directly?,Direct interface instantiations inside dynamic classes violate compiler syntax because classes cannot contain physical hardware net models directly.,Virtual interfaces run twice as fast during execution due to compiler optimization.,Virtual interfaces automatically filter out meta-stability from clock domain cross routes.,Regular interfaces can only be instantiated inside the scoreboard component.,A,verification
"Unlike other standard UVM phases, why is the UVM 'run_phase' unique in its internal execution structure?","It is the only phase implemented as a task rather than a function, which allows it to consume simulation time.",It is executed before the build_phase is reached.,It cannot be overridden or modified by the user.,It runs entirely outside the main simulator compilation process.,A,verification
What is the primary purpose of utilizing the 'solve...before' constraint construct during class randomization operations in SystemVerilog?,To accelerate constraint execution speed by a factor of two.,To alter the probability distribution of randomized variables without narrowing the absolute space of legal solution combinations.,"To force a deterministic value assignment, which completely disables random generation.",To guarantee that an output file is opened before data logging begins.,B,verification
"In SystemVerilog tasks and functions, what is the core operational distinction between an argument passed as 'input' vs. an argument passed as a 'ref'?",'input' works only for real data types; 'ref' works only for virtual structures.,"'input' copies the variable value into the routine at the call step; 'ref' passes a direct reference pointer to the original variable, allowing any modifications inside the routine to immediately change the caller's scope variables without copy overhead.",'ref' blocks the compilation if the argument is not explicitly a signed constant integer.,There is no difference; they are completely interchangeable syntax mechanisms.,B,verification
What is the primary difference between a 'Concurrent Assertion' and an 'Immediate Assertion' in SystemVerilog Assertions (SVA)?,Immediate assertions check complex multi-cycle temporal sequences; concurrent assertions evaluate instantaneous procedural conditions.,"Immediate assertions execute procedurally like standard 'if' conditions within an execution block; concurrent assertions evaluate continuous expressions over time, relying on a clock edge and formal timing parameters.",Immediate assertions can only be defined inside UVM scoreboards.,Concurrent assertions automatically fix any detected timing skew in hardware routes.,B,verification
What is SystemVerilog UVM (Universal Verification Methodology) and what problem does it solve?,A synthesis flow that converts SystemVerilog to gate-level netlists,"A standardized, reusable class-based verification framework built on SystemVerilog OOP that provides a structured environment (driver, monitor, scoreboard, sequencer) to accelerate testbench development and promote component reuse across projects",A formal verification language used to express safety properties,A low-power design methodology for multi-voltage SoC verification,B,verification
"What is functional coverage, and how does it differ from code coverage?",Functional coverage and code coverage are identical metrics,"Code coverage measures which RTL lines/branches were executed; functional coverage measures whether the verification plan's scenarios and corner cases have been exercised, regardless of which code lines ran",Functional coverage measures timing path coverage; code coverage measures logic gate coverage,Functional coverage is only applicable to formal verification; code coverage applies to simulation,B,verification
"What is constrained-random verification (CRV), and why is it preferred over directed testing for complex designs?",CRV generates only directed test cases from a fixed script; preferred because it is deterministic,"CRV uses a constraint solver to automatically generate random stimulus satisfying design protocol constraints, exploring a much wider input space than manually written directed tests, while still producing legal, meaningful transactions",CRV applies random values without constraints; preferred because it maximizes coverage speed,CRV is a formal method that randomly selects properties to prove,B,verification
"What is Clock Domain Crossing (CDC) verification, and what kind of bugs does it catch?",Verifying that all flip-flops share the same clock frequency,"Analyzing signals that cross between asynchronous clock domains to detect metastability risks, missing synchronizers, improper multi-bit bus crossings (data coherency issues), and incorrect synchronization protocols",Checking that clock skew across the chip meets timing closure requirements,Verifying that clock gating cells are correctly placed in the clock tree,B,verification
"What is a UVM scoreboard, and what role does it play in a self-checking testbench?",A scoreboard is a coverage database that tracks which tests have been run,"A scoreboard receives transactions from monitors on the DUT's inputs and outputs, predicts expected output using a reference model, and compares predictions against actual DUT outputs to automatically flag functional mismatches",A scoreboard is a sequence library that prioritizes which test scenarios to run next,A scoreboard is a log file generated by the simulator recording all signal transitions,B,verification
"What is gate-level simulation (GLS), and why is it performed after synthesis?",GLS simulates the RTL before synthesis to establish a golden reference,"GLS simulates the post-synthesis netlist (with or without SDF back-annotation) using actual gate delays to verify that synthesis did not introduce functional bugs, X-propagation issues, or timing violations that RTL simulation would miss",GLS is a formal technique that proves the synthesized netlist is equivalent to the RTL,GLS verifies the physical layout against the schematic (LVS),B,verification
What is X-propagation in simulation and why is it a concern?,X represents a don't-care value used to optimize logic; it is beneficial for area reduction,X (unknown) propagates through logic when signals are uninitialized or in contention. X-optimism in RTL simulation (masking of X values) can hide real bugs that would cause unpredictable behavior in silicon or GLS,X-propagation refers to crosstalk between parallel signal wires causing unknown values,X-propagation is an STA term for unclocked path analysis,B,verification
"What is the Register Abstraction Layer (RAL) in UVM, and how does it benefit SoC verification?",RAL is a physical layer model for DDR memory interfaces,"RAL provides a high-level, object-oriented model of the DUT's register map, allowing testbench code to read/write registers using named fields rather than raw addresses, and enables access via frontdoor (bus transactions) and backdoor (direct HDL path) mechanisms",RAL is a tool that automatically generates RTL register files from a specification,RAL is the UVM component responsible for generating AXI bus transactions,B,verification
"What is power-aware verification, and what standard is commonly used to describe power intent?",Power-aware verification checks IR drop in the power grid using SPICE simulation,"Power-aware verification simulates the design with its power management behavior enabled (power domains, isolation, retention, level shifting). The IEEE 1801 UPF standard describes power intent, and simulators use it to insert behavioral models of isolation/retention cells and check correct power sequencing.",Power-aware verification is performed only at transistor level using analog simulators,Power-aware verification uses formal methods to prove that clock gating saves power,B,verification
"What is an SVA sequence, and how does it differ from an SVA property?",A sequence and a property are identical constructs in SVA,"An SVA sequence defines a series of Boolean conditions over time using temporal operators (##, [*], throughout, etc.); a property wraps a sequence with a directive such as 'always', 'eventually', or implication (|->) to express a complete verification intent that can be checked with assert, assume, or cover",A sequence is used only in formal verification; a property is used only in simulation,A property defines clock domains; a sequence defines data values,B,verification
"How is an associative array defined in SystemVerilog, and what is its primary memory management advantage over a standard dynamic array?",It is allocated via a static fixed size; it blocks run-time out-of-bounds corruption.,"It is indexed via a key data type (e.g., string or sparse address ranges) and allocates memory sparsely on-demand, which avoids reserving massive blocks of contiguous memory for wide, unpopulated spaces.",It forces elements to match a circular FIFO behavior automatically.,It requires zero compiler memory footprint because it is stored directly on the physical host hardware disc cache.,B,verification
"What is the purpose of the 'phase_ready_to_end' function in a UVM component, and how does it interact with the objection mechanism?",It immediately terminates the simulator when any component drops its last objection.,"It is a callback executed automatically when all objections for the current phase are dropped, allowing components to delay phase termination to perform clean-up or wait for a small delay (drain time).",It forces the build_phase to restart if a structural configuration error is detected,It converts 4-state simulation logic variables into 2-state logic variables before data log writing.,B,verification
What is the key behavioral difference between SystemVerilog fork-join execution structures block variations 'fork...join_any' and 'fork...join_none'?,'join_any' blocks execution until all parent tasks finish; 'join_none' blocks infinitely.,'join_any' stalls the main execution thread until ANY single spawned background process completes; 'join_none' allows the main execution thread to continue immediately without waiting for any background process to start or finish.,'join_any' allows only one process to launch; 'join_none' disables all internal threads.,They behave identically except that 'join_none' suppresses compiler optimization warnings.,B,verification
Which communication mechanism is standard in UVM to decouple data passing transaction packets between separate components like a driver and its controlling sequencer?,SystemVerilog Virtual Mailboxes,TLM Ports and Exports (Transaction-Level Modeling),Global software arrays,Hardware wire assignments through cross-module routing,B,verification
"In Static Timing Analysis (STA) software workflows using tools like Synopsys PrimeTime or Cadence Tempus, what file format is primarily utilized to input operational clock frequencies, input delays, and output load criteria?",DEF (Design Exchange Format),SDC (Synopsys Design Constraints),LIB (.lib Liberty Format),SDF (Standard Delay Format),B,eda_tools
"When running physical verification tools like Siemens Calibre or Cadence Pegasus, what exact checking operation is executed during a Layout vs. Schematic (LVS) verification run?",It checks whether the layout geometries violate minimum spacing rules provided by the foundry.,It extracts an electrical netlist from the drawn geometric layout shapes and mathematically compares its connectivity structure against the golden pre-layout structural gate netlist to check for mismatches.,It measures the exact power dissipation values across the power rails.,It automatically fixes any physical metal layout disconnections.,B,eda_tools
What core structural violation is caught when an EDA layout tool executes a Design Rule Check (DRC) rule deck?,Mismatches between the number of logical gates and layout components.,"Geometric design parameter violations, such as minimum metal width limits, minimum spacing violations between shapes, or enclosure rules mandated by the specific foundry process nodes.",Logical gate-level race timing paths.,Power supply voltage drop limits across signal nets.,B,eda_tools
"In a typical digital backend flow, what is the correct order of: (i) Floorplanning, (ii) Clock Tree Synthesis, (iii) Placement, (iv) Routing, (v) Sign-off (DRC/LVS/STA)?",(ii) > (i) > (iii) > (iv) > (v),(i) > (iii) > (ii) > (iv) > (v),(iii) > (i) > (ii) > (iv) > (v),(i) > (ii) > (iii) > (iv) > (v),B,eda_tools
"What is an SDC (Synopsys Design Constraints) file, and which tools consume it?",An SDC file contains physical LEF/DEF descriptions of standard cells; consumed by place-and-route tools,"An SDC file contains timing constraints (clock definitions, I/O delays, false paths, multicycle paths); consumed by synthesis, place-and-route, and STA tools to guide optimization and verify timing",An SDC file stores parasitic extraction results in SPEF format; consumed by the STA tool,An SDC file defines the power intent of the design; consumed by the power analysis tool,B,eda_tools
What is the difference between Synopsys IC Compiler II (ICC2) and Synopsys Design Compiler (DC) in the physical design flow?,DC performs place-and-route; ICC2 performs logic synthesis — they are used in reverse order,"DC is a logic synthesis tool that produces a gate-level netlist from RTL; ICC2 is a place-and-route tool that takes the netlist and physically implements it on the chip (floorplanning, placement, CTS, routing)",Both DC and ICC2 perform synthesis; ICC2 adds physical-aware optimization,ICC2 is used for analog design; DC is used for digital design only,B,eda_tools
"What does Mentor Calibre (or Synopsys IC Validator) perform, and why is it a mandatory sign-off step?",It performs gate-level simulation to verify functional correctness after synthesis,"It runs DRC and LVS physical verification against foundry rule decks, ensuring the final GDS layout is manufacturable and electrically equivalent to the schematic — mandatory before tape-out",It performs static timing analysis using extracted layout parasitics,It generates the standard-cell library LEF and timing models for use in P&R,B,eda_tools
"What is Cadence Spectre (or Synopsys HSPICE) used for, and how does it differ from a digital HDL simulator like Synopsys VCS?",Spectre/HSPICE and VCS are interchangeable; both simulate transistor-level circuits,"Spectre/HSPICE are SPICE-based analog/circuit simulators solving transistor equations (accurate V/I waveforms, noise); VCS is an event-driven RTL/gate-level simulator for digital logic — Spectre is slower but highly accurate; VCS is fast but uses simplified logic models",Spectre is used for digital post-layout simulation; VCS is used for analog block verification,VCS supports mixed-signal simulation; Spectre is limited to DC analysis only,B,eda_tools
What is the primary role of a Parasitic Extraction (PEX) tool within the back-end digital IC physical design flow?,To remove bad gates from the netlist before tape-out.,"To calculate and output the parasitic capacitances, resistances, and cross-coupling metrics of physical routing metal wires into standard exchange models (like SPEF) for downstream sign-off timing analysis.",To generate test structures that improve manufacturing yields.,To increase the overall voltage tolerances of logic transistors.,B,eda_tools
"During the Place-and-Route (P&R) phase in software like Cadence Innovus or Synopsys IC Compiler II, what is the specific objective of the Clock Tree Synthesis (CTS) step?",To generate standard cell layouts from behavioral code.,"To construct an optimized, balanced network of clock routing paths and buffer structures to distribute the clock signal uniformly, minimizing clock skew and latency across all synchronous sequential components.",To establish external wire bond interfaces.,To calculate the total leakage currents across the silicon chip substrate.,B,eda_tools
How does an unexpected increase in the operating temperature generally impact standard digital CMOS standard cell delays?,It speeds up the cells because electron mobility increases at high temperatures.,It increases the propagation delay of standard cells due to reduced carrier mobility.,It has absolutely zero effect on delays; timing varies only with voltage.,It eliminates all leakage current components.,B,backend
"What is 'IR Drop' in a physical backend context, and how is it classified?",The failure of timing paths due to high clock frequencies; classified as setup or hold.,The voltage drop across the power network caused by current flow through network resistance; classified as Static or Dynamic.,The loss of signal integrity due to substrate noise; classified as capacitive or inductive.,The displacement of macros during placement; classified as global or detailed.,B,backend
Why is a 'Halo' or 'Placement Blockage' explicitly applied around hard macros during floorplanning?,To force routing engines to skip the macro entirely.,"To prevent the placement engine from placing standard cells too close to the macro edges, ensuring routing channel availability and preventing congestion.",To connect the substrate of the macro to external grounding rings.,To reduce the manufacturing cost of the silicon masks.,B,backend
What is 'Clock Skew' in digital physical designs?,The drift of the absolute clock frequency over operating time.,The spatial difference in clock signal arrival times at two distinct flip-flop clock pins.,The total delay from the phase-locked loop (PLL) to the first buffer.,The pulse-width distortion caused by asymmetric rise and fall delays.,B,backend
"Which type of clock distribution structure is characterized by balanced, symmetric branching to ensure near-zero structural clock skew?",Fishbone Clock Grid,H-Tree Network,Spine Architecture,Random Mesh Distribution,B,backend
What is the 'Antenna Effect' in sub-micron IC manufacturing and backend design?,Wireless cross-talk between the IC and external PCBs.,"The accumulation of electrostatic charges on long, unconnected metal wires during plasma etching, potentially destroying thin gate oxides.",The intentional use of metal layers to transmit radio frequency signals inside the die.,The physical bending of metal layers due to excessive thermal stresses.,B,backend
How can an antenna violation discovered during routing be successfully resolved?,By increasing the clock tree buffer size.,"By inserting an antenna diode near the gate, or using metal layer hopping (layer routing shifts).",By decreasing the supply voltage of the entire core floorplan.,By increasing the drive strength of the driving standard cell.,B,backend
What is 'Crosstalk Delay' and how does it affect timing paths?,Electromagnetic interference from external packages slowing down logic blocks.,A modification of wire propagation delay caused by switching activities on adjacent parallel wires due to mutual capacitance coupling.,The insertion of extra buffer delay to eliminate setup violations.,Thermal noise propagation through common substrate structures.,B,backend
"If an aggressor net switches in the OPPOSITE direction of a victim net simultaneously, what happens to the victim net's delay?",The victim net's delay remains exactly identical.,The victim net's delay increases (Crosstalk Max-Delay).,The victim net's delay decreases (Crosstalk Min-Delay).,The victim net's signal is completely cancelled out permanently.,B,backend
What is the purpose of inserting 'Tie-High' and 'Tie-Low' cells into a physical design layout?,To route the primary clock tree to high-density modules.,To safely connect unused logic gate inputs to VDD or VSS without exposing sensitive thin gate oxides directly to power supply noise surges.,To increase the overall leakage current of non-critical functional paths.,To serve as decoupling capacitors for macro blocks.,B,backend
What is 'Virtual Clock' in STA constraints?,A dummy clock used by simulation testbenches that has no frequency.,A clock that exists as a timing constraint but is not physically connected to any pin or net inside the current design block.,The clock tree root buffer after physical design placement.,A clock operating in software to synchronize power states.,B,backend
What is the function of 'Decoupling Capacitors' (Decaps) in physical layout design?,To isolate clock domains and prevent any data skew.,"To store localized charge and release it during high-frequency transient switching, minimizing dynamic IR drop.",To provide mechanical support to the wire bond pads.,To block DC routing currents and pass AC data signals.,B,backend
What is the difference between setup time and hold time violation?,Setup is a data-before-clock issue; hold is a data-after-clock issue,Hold is a data-before-clock issue; setup is a data-after-clock issue,Both refer to the same violation in opposite corners,Setup applies only to combinational logic,A,backend
Which parasitic extraction output is consumed by a static timing analysis tool?,SPICE netlist only,SPEF (Standard Parasitic Exchange Format),LEF file,Liberty (.lib) file,B,backend
What is the primary purpose of a power ring in physical design?,To reduce clock skew across sequential elements,To distribute power uniformly around the core or macros and reduce voltage drop,To shield sensitive signal nets from crosstalk,To improve placement density of standard cells,B,backend
"Which routing layer is preferred for power stripes in advanced nodes, and why?","Metal 1, because it is closest to transistors","Upper metals (M5-M9+), because they have lower sheet resistance and handle more current","Local interconnect, because it has the best EM margin","Poly, because it runs perpendicular to diffusion",B,backend
What is electromigration (EM) and its primary impact?,Parasitic coupling between wires causing glitches,"Migration of metal atoms due to current density, leading to open or short circuits",Leakage current increasing with temperature,Oxide breakdown under high voltage,B,backend
"In CTS, what is 'useful skew'?",Clock skew introduced unintentionally by buffering,Intentionally introduced clock skew to borrow time for critical paths,Skew between scan and functional clocks,Skew caused by PVT variation,B,backend
What is a multi-corner multi-mode (MCMM) analysis?,Testing the chip in multiple EDA tools,Running STA across different operating modes and PVT corners simultaneously,A routing constraint for multiple metal layers,Verifying DRC at multiple process generations,B,backend
What information is primarily stored in a Liberty (.lib) file?,Cell geometry and pin locations,"Timing, power, and functional characteristics of standard cells",Routing parasitics extracted from layout,Floorplanning constraints and placement rules,B,backend
Why is shielding applied to critical signal nets during routing?,To reduce leakage current through the signal wire,To minimize crosstalk noise by placing power or ground wires adjacent to the signal,To decrease via resistance in multi-layer routing,To improve electromigration reliability of the net,B,backend
What does 'legalization' mean during placement?,Signing off the design with the foundry,Resolving overlapping cells and snapping them to legal grid sites,Removing DRC violations post-routing,Verifying power intent compliance,B,backend
What does routing congestion indicate during physical design?,Excessive power consumption in the design,Routing demand exceeds the available routing resources in a region,Clock skew exceeds allowable limits,Standard cells are violating setup timing,B,backend
"In physical verification, what is the difference between LVS 'short' and 'open'?",Short = net missing connection; Open = two nets incorrectly merged,Short = two nets incorrectly merged in layout; Open = a required connection is missing,Both represent the same class of error,Short applies to poly; Open applies to metal layers only,B,backend
What is 'metal fill' and why is it required?,Filling unused routing tracks with signal wires,Inserting floating metal shapes to meet density rules for CMP planarity,Adding power stripes after routing,Replacing defective vias with redundant ones,B,backend
What does positive setup slack indicate in Static Timing Analysis?,The data path violates hold requirements,Additional timing margin exists before a setup violation occurs,The clock tree contains excessive skew,The path has routing congestion issues,B,backend
What is the significance of the 'critical path' in timing analysis?,The routing path with the most congestion,The combinational logic path with the worst (least positive or most negative) setup slack,The longest metal wire in the design,The path from primary input to primary output with most logic stages,B,backend
What does 'double patterning' refer to in advanced lithography?,Printing two metal layers simultaneously,Splitting a dense layout into two separate lithography exposures to achieve sub-wavelength features,Using two different light wavelengths for exposure,Applying two resist layers for better etch selectivity,B,backend
What is a 'logical equivalence check' (LEC) and at what stage is it performed?,Checking that synthesized/placed netlist is functionally identical to the RTL,Verifying clock tree buffers are symmetric,Confirming that standard cells match their SPICE models,Running DRC on the final GDS,A,backend
What is 'pin access' in the context of detailed routing?,The ability to probe internal nets during test,The routability of reaching a cell pin from the routing grid without violating DRC,Power pin connections defined in the LEF,I/O pad ring accessibility,B,backend
What is a 'well tap cell' and why is it needed in CMOS layouts?,A cell that samples internal voltages for testing,A cell that ties the N-well to VDD and P-substrate to VSS to prevent latch-up,A filler cell with added decoupling capacitance,A cell that sets the body bias voltage,B,backend
Which timing corner is typically used to check for hold violations?,"Slow-slow (SS) corner, low temperature","Fast-fast (FF) corner, low temperature","Typical-typical (TT) corner, 25 degrees C","Slow-fast (SF) corner, high temperature",B,backend
Which cell type is explicitly inserted into layout rows to ensure continuous n-well and substrate bias connectivity across standard cell rows?,Clock Buffers,Filler Cells,Antenna Diodes,Level Shifters,B,backend
What is On-Chip Variation (OCV) in timing analysis?,Voltage drop across power rails during switching,Delay variation caused by manufacturing and environmental differences across the chip,Crosstalk noise between adjacent nets,Variations in clock frequency due to PLL drift,B,backend
Why are multiple vias often inserted between metal layers in critical nets?,To reduce cell placement density,To lower resistance and improve electromigration reliability,To minimize clock skew,To reduce substrate noise coupling,B,backend
"If a design experiences a critical HOLD timing violation right before tape-out, what is the standard, safest physical method to resolve it?",Increase the operational frequency of the master clock.,Insert delay buffers or redundant inverters along the failing data path.,Upsize the driving register's power configuration to speed it up.,Completely re-route the entire chip using fewer metal layers.,B,backend
What is the physical meaning of 'Density Rules' in foundry DRC decks?,The maximum number of standard cells allowed per square millimeter.,"The percentage of metal area relative to total layer area across a step-window, ensuring uniform chemical-mechanical polishing (CMP).",The total number of vias per net segment.,The concentration of dopants injected into the transistor channels.,B,backend
"Which file format contains geometric, structural layout information of standard cells and macros without detailing internal transistor schematics?",SPICE Netlist,LEF (Library Exchange Format),SDC (Synopsys Design Constraints),LIB (.lib format),B,backend
What is the primary role of 'Global Routing' within the overall routing pipeline?,To assign specific geometric coordinates and via positions to every single wire tracking.,To divide the layout into a grid zone map and assign net topologies to global routing bins to optimize global congestion.,To verify layout compliance against the factory DRC handbook.,To fix all localized setup and hold timing failures.,B,backend
What does clock uncertainty represent in Static Timing Analysis (STA)?,Variations in logic gate functionality,Timing margin accounting for clock jitter and skew variations,Delay introduced by routing congestion,Voltage fluctuations in the power grid,B,backend
